batch_size,avg_latency_ms,peak_memory_mb
766,235.528,4959.56
767,235.05,4907.56
768,237.364,4961.56
769,236.926,4907.56
770,237.356,4963.56
771,237.663,4911.56
772,238.284,4963.56
773,238.731,4963.56
774,238.603,4913.56
775,238.427,4905.56
776,238.716,4965.56
777,237.788,4967.56
778,238.146,4907.56
779,238.164,4913.56
780,238.8,4913.56
781,239.093,4969.56
782,238.374,4969.56
783,238.684,4969.56
784,239.643,4971.56
785,240.512,4917.56
786,240.817,4917.56
787,240.295,4917.56
788,240.091,4919.56
789,240.613,4915.56
790,242.425,4973.56
791,241.324,4921.56
792,241.902,4921.56
793,241.212,4975.56
794,241.489,4921.56
795,242.23,4977.56
796,242.384,4925.56
797,241.164,4977.56
798,242.019,4979.56
799,244.053,4925.56
800,245.457,4979.56
801,242.057,4979.56
802,241.525,4981.56
803,243.892,4981.56
804,243.974,4981.56
805,244.099,4983.56
806,243.164,4983.56
807,242.545,4983.56
808,242.643,4983.56
809,243.185,4985.56
810,244.439,4929.56
811,244.573,4985.56
812,245.48,4935.56
813,244.558,4925.56
814,246.769,4935.56
815,246.185,4989.56
816,246.822,4937.56
817,245.614,4991.56
818,246.642,4989.56
819,247.564,4991.56
820,246.021,4991.56
821,246.882,4937.56
822,247.402,4995.56
823,248.417,4993.56
824,248.293,4995.56
825,247.885,4939.56
826,247.801,4997.56
827,249.751,4995.56
828,248.01,4995.56
829,248.489,4997.56
830,250.048,4997.56
831,248.218,4997.56
832,251.242,4997.56
833,250.492,5001.56
834,250.854,4945.56
835,248.467,4999.56
836,250.369,5001.56
837,249.401,5001.56
838,249.923,5001.56
839,247.928,5001.56
840,250.039,5003.56
841,251.81,5003.56
842,252.965,5003.56
843,252.756,5005.56
844,251.474,5005.56
845,252.966,4951.56
846,251.998,5005.56
847,253.004,5007.56
848,252.364,5007.56
849,252.905,4953.56
850,254.358,5009.56
851,254.188,5009.56
852,254.211,5009.56
853,254.009,4949.56
854,254.248,5011.56
855,254.43,4959.56
856,253.776,4951.56
857,255.971,5013.56
858,254.326,4959.56
859,254.249,4961.56
860,254.859,5013.56
861,255.201,4963.56
862,255.334,4961.56
863,254.907,4961.56
864,256.97,5019.56
865,256.108,4955.56
866,255.2,4955.56
867,257.127,4957.56
868,255.965,5021.56
869,256.378,5019.56
870,256.52,4965.56
871,255.994,4967.56
872,257.604,5023.56
873,255.871,5021.56
874,257.943,4967.56
875,257.8,5025.56
876,258.415,5023.56
877,257.194,5023.56
878,256.235,4971.56
879,256.091,5025.56
880,256.965,4965.56
881,258.401,5025.56
882,258.888,5027.56
883,260.847,5027.56
884,259.27,5027.56
885,260.857,4977.56
886,260.165,5029.56
887,259.452,4977.56
888,260.873,4977.56
889,259.908,4977.56
890,260.015,4971.56
891,263.46,4971.56
892,262.492,5033.56
893,260.581,5033.56
894,263.526,5033.56
895,262.057,4981.56
896,263.283,4975.56
897,262.751,5035.56
898,262.534,5035.56
899,263.541,5037.56
900,263.021,5037.56
901,263.422,5037.56
902,264.692,5037.56
903,262.171,5039.56
904,263.873,5039.56
905,263.285,5041.56
906,264.681,5043.56
907,263.987,4987.56
908,263.536,5041.56
909,264.921,5041.56
910,265.759,4985.56
911,265.278,5043.56
912,263.528,5043.56
913,264.512,4991.56
914,265.372,5045.56
915,264.589,5045.56
916,266.522,4993.56
917,267.056,5047.56
918,267.153,4987.56
919,267.437,5049.56
920,267.032,5049.56
921,266.374,4989.56
922,267.554,5049.56
923,267.463,4999.56
924,267.826,5053.56
925,266.812,5051.56
926,269.389,4993.56
927,268.885,5053.56
928,269.182,5053.56
929,268.652,5053.56
930,268.705,5001.56
931,269.566,4993.56
932,266.571,5055.56
933,268.707,5055.56
934,269.735,5057.56
935,270.61,4997.56
936,270.783,5057.56
937,270.712,5059.56
938,270.791,5059.56
939,270.767,5061.56
940,272.02,5059.56
941,272.571,5061.56
942,271.539,5003.56
943,273.057,5009.56
944,272.391,5063.56
945,269.372,5063.56
946,271.208,5011.56
947,271.943,5011.56
948,270.668,5003.56
949,272.337,5011.56
950,271.253,5011.56
951,271.88,5015.56
952,271.559,5013.56
953,273.275,5069.56
954,272.897,5015.56
955,274.061,5007.56
956,274.9,5013.56
957,274.16,5069.56
958,273.938,5011.56
959,274.627,5071.56
960,274.592,5019.56
961,274.318,5019.56
962,275.431,5073.56
963,274.919,5073.56
964,276.647,5073.56
965,275.616,5075.56
966,275.125,5075.56
967,276.577,5075.56
968,275.026,5075.56
969,274.943,5077.56
970,278.229,5077.56
971,277.903,5077.56
972,278.572,5079.56
973,278.964,5079.56
974,275.035,5079.56
975,278.02,5079.56
976,278.386,5027.56
977,277.438,5081.56
978,279.047,5019.56
979,279.94,5029.56
980,275.536,5083.56
981,276.343,5027.56
982,278.3,5083.56
983,278.756,5087.56
