batch_size,avg_latency_ms,peak_memory_mb
868,1163.97,6945.56
869,1165.16,6941.56
870,1166.94,6941.56
871,1169.93,8991.56
872,1170.81,8995.56
873,1172.03,8995.56
874,1175.17,8991.56
875,1177.05,8993.56
876,1178.17,8993.56
877,1179.32,8997.56
878,1180.21,9007.56
879,1179.69,8999.56
880,1182.33,8999.56
881,1183,8999.56
882,1185.87,8997.56
883,1185.9,8997.56
884,1187.16,9001.56
885,1189.84,9003.56
886,1188.86,9003.56
887,1190.4,8999.56888,1318.6,20275.6
889,1311.05,20273.6
890,1343.66,21297.6
891,1327.17,21297.6
892,1332.36,21811.6
893,1346.73,21811.6
894,1365.5,21811.6
895,1353.02,21811.6
896,1360.04,21813.6
897,1379.56,21813.6
898,1371.01,21817.6
899,1374.19,21815.6
900,1365.57,21811.6
901,1375.55,21819.6
902,1375.03,21815.6
903,1372.32,21817.6
904,1383.26,21809.6
905,1381.11,21813.6
906,1384.27,21819.6
907,1386.5,21819.6
908,1386.19,21823.6
909,1383.53,21815.6
910,1394.41,21821.6
911,1397.01,21821.6
912,1396.17,21825.6
913,1406.95,21815.6
914,1411.2,21823.6
915,1409.9,21819.6
916,1413.39,21823.6
917,1406.36,21829.6
918,1405.51,21825.6
919,1410.33,21829.6
920,1406.29,21827.6
921,1410.59,21831.6
922,1413.11,21831.6
923,1407.26,21829.6
924,1400.96,21821.6
925,1402.66,21829.6
926,1417.86,21825.6
927,1411.28,21831.6
928,1419.79,21831.6
929,1416.73,21835.6
930,1423.48,21829.6
931,1417.64,21833.6
932,1411.5,21833.6
933,1423.07,21833.6
934,1418.46,21835.6
935,1412.53,21831.6
936,1412.95,21831.6
937,1419.77,21841.6
938,1421.48,21829.6
939,1425.7,21829.6
940,1436.16,21837.6
941,1422.63,21839.6
942,1424.26,21839.6
943,1416.6,21831.6
944,1414.21,21833.6
945,1435.17,21841.6
946,1441.87,21841.6
947,1435.11,21837.6
948,1430.64,21843.6
949,1430.38,21843.6
950,1433.85,21843.6
951,1453.31,21849.6
952,1448.15,21845.6
953,1447.07,21837.6
954,1448.25,21845.6
955,1445.98,21839.6
956,1468.66,21851.6
957,1455.81,21847.6
958,1471.68,21849.6
959,1470.63,21849.6
960,1464.74,21853.6
961,1475.17,21849.6
962,1469.21,21851.6
963,1481.9,21855.6
964,1474.63,21855.6
965,1474.63,21853.6
966,1484.61,21857.6
967,1469.37,21853.6
968,1473.79,21853.6
969,1486.21,21859.6
970,1480.4,21847.6
971,1481.36,21855.6
972,1495.31,21853.6
973,1473.12,21861.6
974,1491.61,21857.6
975,1479.82,21853.6
976,1491.3,21859.6
977,1499.05,21859.6
978,1492.11,21859.6
979,1488.51,21861.6
980,1491.05,21861.6
981,1497.44,21861.6
982,1501.19,21857.6
983,1497.02,21859.6
984,1487.1,21863.6
985,1491.43,21863.6
986,1487.67,21861.6
987,1499.04,21865.6
988,1499.62,21865.6
989,1493.24,21865.6
990,1498.5,21867.6
991,1498.63,21863.6
992,1506.52,21871.6
993,1500.05,21873.6
994,1524.73,21869.6
995,1511.43,21869.6
996,1506.02,21869.6
997,1514.31,21871.6
998,1511.03,21863.6
999,1510.68,21875.6
1000,1520.87,21877.6
1001,1515.38,21873.6
1002,1516.64,21873.6
1003,1516.77,21873.6
1004,1516.02,21879.6
1005,1518.97,21879.6
1006,1534.21,21867.6
1007,1534.25,21873.6
1008,1516.25,21881.6
1009,1516.88,21873.6
1010,1521.67,21877.6
1011,1529.87,21883.6
1012,1519.6,21879.6
1013,1527.7,21879.6
1014,1530.14,21885.6
1015,1522.86,21873.6
1016,1524.12,21877.6
1017,1540.04,21885.6
1018,1534.97,21883.6
1019,1534.45,21883.6
1020,1535.09,21879.6
1021,1536.01,21885.6
1022,1549.63,21885.6
1023,1540.17,21885.6
1024,1542.09,21889.6
